Datetime,Close,High,Low,Open,Volume
2024-12-30 05:00:00+00:00,21687.75,21690.75,21687.25,21688.25,0.0
2024-12-30 05:01:00+00:00,21687.5,21688.5,21687.0,21687.0,17.0
2024-12-30 05:02:00+00:00,21684.0,21686.75,21682.5,21685.5,45.0
2024-12-30 05:03:00+00:00,21681.75,21684.5,21680.0,21684.0,68.0
2024-12-30 05:04:00+00:00,21681.5,21684.25,21681.0,21682.0,42.0
2024-12-30 05:05:00+00:00,21688.5,21688.5,21683.5,21683.5,25.0
2024-12-30 05:06:00+00:00,21685.25,21690.5,21685.25,21689.0,26.0
2024-12-30 05:07:00+00:00,21687.25,21688.0,21686.25,21687.0,24.0
2024-12-30 05:08:00+00:00,21687.5,21688.5,21686.5,21686.75,20.0
2024-12-30 05:09:00+00:00,21689.0,21689.0,21687.0,21687.0,13.0
2024-12-30 05:10:00+00:00,21689.75,21689.75,21688.5,21689.75,23.0
2024-12-30 05:11:00+00:00,21681.5,21690.25,21681.5,21689.5,40.0
2024-12-30 05:12:00+00:00,21679.5,21682.75,21679.5,21681.25,44.0
2024-12-30 05:13:00+00:00,21681.5,21681.75,21678.75,21680.25,18.0
2024-12-30 05:14:00+00:00,21679.25,21683.5,21679.25,21682.75,22.0
2024-12-30 05:15:00+00:00,21679.0,21680.75,21678.0,21678.75,43.0
2024-12-30 05:16:00+00:00,21681.5,21682.75,21680.0,21680.0,18.0
2024-12-30 05:17:00+00:00,21682.25,21682.25,21680.5,21680.5,4.0
2024-12-30 05:18:00+00:00,21682.75,21683.25,21681.75,21683.25,10.0
2024-12-30 05:19:00+00:00,21684.25,21684.75,21682.25,21682.25,23.0
2024-12-30 05:20:00+00:00,21680.5,21682.75,21679.5,21682.75,17.0
2024-12-30 05:21:00+00:00,21679.0,21681.25,21679.0,21680.5,6.0
2024-12-30 05:22:00+00:00,21678.25,21681.0,21678.25,21679.75,19.0
2024-12-30 05:23:00+00:00,21679.0,21679.75,21678.25,21678.25,10.0
2024-12-30 05:24:00+00:00,21680.5,21680.5,21678.75,21679.0,7.0
2024-12-30 05:25:00+00:00,21678.25,21684.75,21677.0,21681.5,72.0
2024-12-30 05:26:00+00:00,21678.25,21679.75,21677.5,21679.75,15.0
2024-12-30 05:27:00+00:00,21672.5,21678.5,21670.5,21678.5,146.0
2024-12-30 05:28:00+00:00,21674.0,21674.0,21671.5,21671.5,22.0
2024-12-30 05:29:00+00:00,21674.0,21677.25,21673.75,21673.75,35.0
2024-12-30 05:30:00+00:00,21666.5,21677.0,21660.75,21673.25,355.0
2024-12-30 05:31:00+00:00,21665.75,21669.25,21664.75,21665.25,47.0
2024-12-30 05:32:00+00:00,21657.25,21667.5,21656.0,21666.0,175.0
2024-12-30 05:33:00+00:00,21650.5,21658.5,21649.5,21657.0,249.0
2024-12-30 05:34:00+00:00,21652.0,21655.0,21650.5,21651.75,103.0
2024-12-30 05:35:00+00:00,21659.5,21661.0,21650.75,21654.25,187.0
2024-12-30 05:36:00+00:00,21658.25,21658.75,21654.75,21658.75,55.0
2024-12-30 05:37:00+00:00,21655.5,21657.5,21655.5,21657.25,24.0
2024-12-30 05:38:00+00:00,21654.5,21658.25,21653.75,21657.0,67.0
2024-12-30 05:39:00+00:00,21652.0,21654.75,21651.0,21654.25,33.0
2024-12-30 05:40:00+00:00,21653.5,21656.75,21653.0,21653.5,33.0
2024-12-30 05:41:00+00:00,21656.5,21656.5,21653.5,21653.5,18.0
2024-12-30 05:42:00+00:00,21655.0,21660.0,21655.0,21656.0,56.0
2024-12-30 05:43:00+00:00,21653.25,21656.0,21653.25,21654.25,24.0
2024-12-30 05:44:00+00:00,21654.0,21655.5,21653.75,21655.25,15.0
2024-12-30 05:45:00+00:00,21657.0,21657.0,21652.0,21653.0,34.0
2024-12-30 05:46:00+00:00,21653.0,21656.25,21652.75,21656.0,30.0
2024-12-30 05:47:00+00:00,21654.0,21654.75,21653.75,21654.25,10.0
2024-12-30 05:48:00+00:00,21654.25,21656.75,21653.75,21653.75,17.0
2024-12-30 05:49:00+00:00,21654.25,21655.25,21653.75,21655.0,6.0
2024-12-30 05:50:00+00:00,21660.0,21660.0,21654.5,21655.0,35.0
2024-12-30 05:51:00+00:00,21661.0,21661.0,21657.5,21659.75,92.0
2024-12-30 05:52:00+00:00,21658.25,21660.75,21658.25,21660.25,41.0
2024-12-30 05:53:00+00:00,21660.5,21660.5,21657.0,21657.0,22.0
2024-12-30 05:54:00+00:00,21661.0,21662.75,21660.0,21660.75,30.0
2024-12-30 05:55:00+00:00,21660.0,21663.5,21660.0,21662.5,26.0
2024-12-30 05:56:00+00:00,21656.25,21660.25,21656.25,21660.0,35.0
2024-12-30 05:57:00+00:00,21658.5,21659.75,21657.5,21657.5,21.0
2024-12-30 05:58:00+00:00,21660.0,21660.0,21658.5,21658.5,9.0
2024-12-30 05:59:00+00:00,21659.0,21660.0,21658.0,21660.0,15.0
2024-12-30 06:00:00+00:00,21657.5,21658.5,21651.5,21658.5,114.0
2024-12-30 06:01:00+00:00,21660.75,21661.0,21656.25,21658.0,62.0
2024-12-30 06:02:00+00:00,21660.75,21661.75,21660.5,21661.75,21.0
2024-12-30 06:03:00+00:00,21663.25,21664.25,21661.75,21661.75,53.0
2024-12-30 06:04:00+00:00,21669.0,21669.0,21664.5,21664.5,109.0
2024-12-30 06:05:00+00:00,21666.75,21666.75,21664.75,21665.75,14.0
2024-12-30 06:06:00+00:00,21666.75,21668.25,21665.0,21665.0,24.0
2024-12-30 06:07:00+00:00,21673.75,21674.5,21667.5,21668.75,88.0
2024-12-30 06:08:00+00:00,21669.25,21672.25,21668.5,21672.25,59.0
2024-12-30 06:09:00+00:00,21671.25,21672.0,21669.5,21669.5,13.0
2024-12-30 06:10:00+00:00,21671.0,21673.5,21671.0,21673.5,31.0
2024-12-30 06:11:00+00:00,21673.0,21674.25,21670.5,21671.0,31.0
2024-12-30 06:12:00+00:00,21678.5,21679.5,21673.0,21673.0,108.0
2024-12-30 06:13:00+00:00,21682.0,21682.75,21678.5,21679.0,115.0
2024-12-30 06:14:00+00:00,21679.75,21682.0,21679.75,21682.0,37.0
2024-12-30 06:15:00+00:00,21682.75,21683.0,21678.75,21678.75,40.0
2024-12-30 06:16:00+00:00,21684.5,21687.5,21682.25,21682.25,82.0
2024-12-30 06:17:00+00:00,21682.75,21684.25,21682.0,21684.25,34.0
2024-12-30 06:18:00+00:00,21675.25,21681.75,21675.25,21681.75,57.0
2024-12-30 06:19:00+00:00,21677.5,21679.75,21675.25,21675.75,34.0
2024-12-30 06:20:00+00:00,21678.75,21680.5,21678.25,21678.25,28.0
2024-12-30 06:21:00+00:00,21679.75,21679.75,21678.0,21678.0,8.0
2024-12-30 06:22:00+00:00,21680.5,21681.0,21678.0,21679.5,41.0
2024-12-30 06:23:00+00:00,21679.5,21682.0,21679.5,21681.25,21.0
2024-12-30 06:24:00+00:00,21682.5,21684.5,21680.25,21681.5,53.0
2024-12-30 06:25:00+00:00,21681.5,21685.0,21680.0,21683.5,81.0
2024-12-30 06:26:00+00:00,21685.0,21687.0,21682.0,21682.0,53.0
2024-12-30 06:27:00+00:00,21686.25,21687.75,21684.0,21684.0,48.0
2024-12-30 06:28:00+00:00,21686.0,21688.0,21685.0,21687.25,44.0
