Datetime,Close,High,Low,Open,Volume
2025-01-19 22:06:00+00:00,,,,,
2025-01-19 23:00:00+00:00,,,,,
2025-01-19 23:01:00+00:00,,,,,
2025-01-19 23:02:00+00:00,,,,,
2025-01-19 23:03:00+00:00,,,,,
2025-01-19 23:04:00+00:00,,,,,
2025-01-19 23:05:00+00:00,,,,,
2025-01-19 23:06:00+00:00,,,,,
2025-01-19 23:07:00+00:00,,,,,
2025-01-19 23:08:00+00:00,,,,,
2025-01-19 23:09:00+00:00,,,,,
2025-01-19 23:10:00+00:00,,,,,
2025-01-19 23:11:00+00:00,,,,,
2025-01-19 23:12:00+00:00,,,,,
2025-01-19 23:13:00+00:00,,,,,
2025-01-19 23:14:00+00:00,,,,,
2025-01-19 23:15:00+00:00,,,,,
2025-01-19 23:16:00+00:00,,,,,
2025-01-19 23:17:00+00:00,,,,,
2025-01-19 23:18:00+00:00,,,,,
2025-01-19 23:19:00+00:00,,,,,
2025-01-19 23:20:00+00:00,,,,,
2025-01-19 23:21:00+00:00,,,,,
2025-01-19 23:22:00+00:00,,,,,
2025-01-19 23:23:00+00:00,,,,,
2025-01-19 23:24:00+00:00,,,,,
2025-01-19 23:25:00+00:00,,,,,
2025-01-19 23:26:00+00:00,,,,,
2025-01-19 23:27:00+00:00,,,,,
2025-01-19 23:28:00+00:00,,,,,
2025-01-19 23:29:00+00:00,,,,,
2025-01-19 23:30:00+00:00,78.19000244140625,78.19000244140625,78.19000244140625,78.19000244140625,0.0
2025-01-19 23:31:00+00:00,,,,,
2025-01-19 23:32:00+00:00,,,,,
2025-01-19 23:33:00+00:00,,,,,
2025-01-19 23:34:00+00:00,,,,,
2025-01-19 23:35:00+00:00,,,,,
2025-01-19 23:36:00+00:00,,,,,
2025-01-19 23:37:00+00:00,,,,,
2025-01-19 23:38:00+00:00,,,,,
2025-01-19 23:39:00+00:00,,,,,
2025-01-19 23:40:00+00:00,,,,,
2025-01-19 23:41:00+00:00,,,,,
2025-01-19 23:42:00+00:00,,,,,
2025-01-19 23:43:00+00:00,,,,,
2025-01-19 23:44:00+00:00,,,,,
2025-01-19 23:45:00+00:00,,,,,
2025-01-19 23:46:00+00:00,78.30000305175781,78.30000305175781,78.29000091552734,78.29000091552734,9.0
2025-01-19 23:47:00+00:00,78.29000091552734,78.29000091552734,78.29000091552734,78.29000091552734,4.0
2025-01-19 23:48:00+00:00,,,,,
2025-01-19 23:49:00+00:00,78.29000091552734,78.29000091552734,78.29000091552734,78.29000091552734,10.0
2025-01-19 23:50:00+00:00,,,,,
2025-01-19 23:51:00+00:00,,,,,
2025-01-19 23:52:00+00:00,,,,,
2025-01-19 23:53:00+00:00,,,,,
2025-01-19 23:54:00+00:00,,,,,
2025-01-19 23:55:00+00:00,,,,,
2025-01-19 23:56:00+00:00,,,,,
2025-01-19 23:57:00+00:00,,,,,
2025-01-19 23:58:00+00:00,,,,,
2025-01-19 23:59:00+00:00,,,,,
2025-01-20 00:00:00+00:00,,,,,
2025-01-20 00:01:00+00:00,,,,,
2025-01-20 00:02:00+00:00,,,,,
2025-01-20 00:03:00+00:00,,,,,
2025-01-20 00:04:00+00:00,,,,,
2025-01-20 00:05:00+00:00,,,,,
2025-01-20 00:06:00+00:00,,,,,
2025-01-20 00:07:00+00:00,,,,,
2025-01-20 00:08:00+00:00,,,,,
2025-01-20 00:09:00+00:00,,,,,
2025-01-20 00:10:00+00:00,,,,,
2025-01-20 00:11:00+00:00,,,,,
2025-01-20 00:12:00+00:00,,,,,
2025-01-20 00:13:00+00:00,78.33000183105469,78.33000183105469,78.33000183105469,78.33000183105469,85.0
