Datetime,Close,High,Low,Open,Volume
2025-06-15 22:00:00+00:00,21559.0,21586.25,21501.75,21554.0,0.0
2025-06-15 22:01:00+00:00,21551.25,21562.25,21537.5,21562.25,231.0
2025-06-15 22:02:00+00:00,21558.5,21560.0,21550.5,21550.5,102.0
2025-06-15 22:03:00+00:00,21607.0,21615.0,21559.75,21559.75,468.0
2025-06-15 22:04:00+00:00,21598.5,21636.25,21595.0,21600.75,316.0
2025-06-15 22:05:00+00:00,21596.75,21602.5,21583.25,21599.0,155.0
2025-06-15 22:06:00+00:00,21607.5,21619.75,21593.0,21596.5,207.0
2025-06-15 22:07:00+00:00,21589.0,21608.5,21586.5,21608.0,144.0
2025-06-15 22:08:00+00:00,21584.25,21598.0,21576.0,21591.75,130.0
2025-06-15 22:09:00+00:00,21569.5,21583.75,21568.0,21582.25,171.0
2025-06-15 22:10:00+00:00,21557.5,21568.75,21550.0,21568.75,324.0
2025-06-15 22:11:00+00:00,21582.0,21587.5,21555.75,21555.75,176.0
2025-06-15 22:12:00+00:00,21590.0,21590.0,21579.5,21584.0,108.0
2025-06-15 22:13:00+00:00,21594.0,21605.25,21586.5,21588.5,326.0
2025-06-15 22:14:00+00:00,21604.25,21610.0,21594.75,21595.75,79.0
2025-06-15 22:15:00+00:00,21607.5,21619.5,21599.5,21604.5,148.0
2025-06-15 22:16:00+00:00,21603.25,21610.75,21600.75,21607.25,92.0
2025-06-15 22:17:00+00:00,21595.5,21606.0,21593.5,21606.0,78.0
2025-06-15 22:18:00+00:00,21604.0,21604.0,21595.0,21599.25,20.0
2025-06-15 22:19:00+00:00,21610.25,21612.0,21606.0,21606.0,45.0
2025-06-15 22:20:00+00:00,21608.75,21619.5,21606.0,21610.25,65.0
2025-06-15 22:21:00+00:00,21610.25,21613.75,21598.0,21611.0,106.0
2025-06-15 22:22:00+00:00,21612.75,21615.25,21609.25,21609.25,37.0
2025-06-15 22:23:00+00:00,21629.25,21630.75,21615.0,21615.25,261.0
2025-06-15 22:24:00+00:00,21631.5,21640.5,21623.75,21628.5,458.0
2025-06-15 22:25:00+00:00,21625.0,21632.25,21624.5,21631.75,96.0
2025-06-15 22:26:00+00:00,21638.5,21639.0,21623.75,21625.75,112.0
2025-06-15 22:27:00+00:00,21632.75,21646.0,21632.0,21639.0,147.0
2025-06-15 22:28:00+00:00,21637.25,21638.0,21630.75,21631.5,54.0
2025-06-15 22:29:00+00:00,21632.25,21638.25,21632.25,21637.25,26.0
2025-06-15 22:30:00+00:00,21636.25,21639.75,21634.25,21634.25,41.0
2025-06-15 22:31:00+00:00,21645.25,21650.0,21632.5,21635.5,109.0
2025-06-15 22:32:00+00:00,21641.0,21646.25,21636.75,21646.25,62.0
2025-06-15 22:33:00+00:00,21646.5,21646.5,21640.25,21641.0,34.0
2025-06-15 22:34:00+00:00,21650.75,21650.75,21642.0,21646.5,46.0
2025-06-15 22:35:00+00:00,21641.0,21653.0,21636.75,21652.25,118.0
